index,ids_index,ids_name
693,912,five
694,913,six
695,914,seven
696,915,eight
697,916,nine
698,917,ten
699,919,twelve
700,922,hundred
701,924,count
702,925,"every, all"
703,926,"much, many"
704,927,more
705,928,"little (quantity), few"
706,929,enough
707,930,some
708,931,"multitude, crowd"
709,932,full
710,933,empty
711,934,"part, piece"
712,935,half
713,936,"alone, only"
714,937,first
715,938,last
716,939,second
717,940,pair
718,942,third
719,944,time
720,945,age
721,946,new
722,947,young
723,948,old
724,949,early
725,950,late
726,951,now
727,953,"swift, fast, quick"
728,954,slow
729,955,"hasten, hurry"
730,956,"retard, delay"
731,957,"begin, beginning"
732,958,"last, endure"
733,959,end (temporal)
734,960,finish
735,961,"cease, stop"
736,962,ready
737,963,always
738,964,often
739,965,sometimes
740,966,soon
741,968,never
742,969,again
743,970,day
744,971,night
745,972,dawn
746,973,morning
747,974,"noon, midday"
748,975,afternoon
749,976,evening
750,977,today
751,978,tomorrow
752,980,yesterday
753,982,hour
754,983,"clock, timepiece"
755,984,week
756,992,month
757,993,year
758,994,winter
759,995,spring
760,996,summer
761,997,autumn
762,998,season
763,999,smell (vb intrans)
764,1000,sniff
765,1001,smell (vb trans)
766,1004,taste
767,1005,sweet
768,1007,bitter
769,1008,"acid, sour"
770,1010,hear
771,1011,listen
772,1012,"sound, noise"
773,1013,loud
774,1014,"quiet, silence"
775,1015,see
776,1016,"look, look at"
777,1017,show
778,1018,shine
779,1019,bright
780,1020,color
781,1021,light (in color)
782,1022,dark (in color)
783,1023,white
784,1024,black
785,1025,red
786,1026,blue
787,1027,green
788,1028,yellow
789,1029,touch
790,1030,pinch
791,1031,feel
792,1032,hard
793,1033,soft
794,1034,rough
795,1035,smooth
796,1036,sharp
797,1037,"blunt, dull"
798,1038,heavy
799,1039,light (in weight)
800,1040,"wet, damp"
801,1041,dry
802,1042,hot
803,1043,warm
804,1044,cold
805,1045,clean
806,1046,"dirty, soiled"
807,1048,"soul, spirit"
808,1050,"good fortune, luck"
809,1052,"joyful, glad, happy"
810,1053,laugh
811,1054,smile
812,1055,play
813,1056,love
814,1057,kiss
